"AUC","Brier","model","EPV","P","rho","beta_pattern","sim"
0.791138325777963,0.200019701445414,"MLE",10,4,0.5,"equal",4
0.822348705212687,0.176874038674903,"MLE",10,4,0.5,"equal",5
0.803478536905053,0.187451321478976,"MLE",10,4,0.5,"equal",6
0.808698430919873,0.178676327263209,"MLE",10,4,0.5,"equal",7
0.786612807044404,0.18926303868444,"MLE",10,4,0.5,"equal",8
0.809063279999996,0.178942684959867,"MLE",10,4,0.5,"equal",9
0.80794956391468,0.181928432483758,"MLE",10,4,0.5,"equal",10
0.772870336899025,0.195424238643937,"MLE",10,4,0.5,"strong",1
0.776772362473833,0.202969596876874,"MLE",10,4,0.5,"strong",2
0.748383584762812,0.207250797119391,"MLE",10,4,0.5,"strong",3
0.793627779985144,0.185567567063167,"MLE",10,4,0.5,"strong",4
0.767040090905656,0.196703263094845,"MLE",10,4,0.5,"strong",5
0.77450503034077,0.202281056983658,"MLE",10,4,0.5,"strong",6
0.760780860359914,0.20765730031757,"MLE",10,4,0.5,"strong",7
0.785601213286694,0.189116551730662,"MLE",10,4,0.5,"strong",8
0.772178607748783,0.200271322100222,"MLE",10,4,0.5,"strong",9
0.780476687626999,0.19509073757076,"MLE",10,4,0.5,"strong",10
0.651605753771849,0.232770740999881,"MLE",10,4,0.5,"noise",1
0.673078722308339,0.229316939756201,"MLE",10,4,0.5,"noise",2
0.671669784389682,0.242532618724812,"MLE",10,4,0.5,"noise",3
0.602093002093003,0.258313220140041,"MLE",10,4,0.5,"noise",4
0.680040572879524,0.250104165629322,"MLE",10,4,0.5,"noise",5
0.629737327626467,0.240101672965338,"MLE",10,4,0.5,"noise",6
0.684799737785956,0.22646342572339,"MLE",10,4,0.5,"noise",7
0.666786509662744,0.230185149993275,"MLE",10,4,0.5,"noise",8
0.680825896776063,0.225409882972097,"MLE",10,4,0.5,"noise",9
0.623307379515909,0.245259542396438,"MLE",10,4,0.5,"noise",10
0.627383052548082,0.238303483704144,"MLE",10,4,0.5,"halfnoise",1
0.629264033994006,0.241573314751205,"MLE",10,4,0.5,"halfnoise",2
0.521802493030115,0.261041615804555,"MLE",10,4,0.5,"halfnoise",3
0.596259400349259,0.278004674771227,"MLE",10,4,0.5,"halfnoise",4
0.56011217508684,0.269245234808137,"MLE",10,4,0.5,"halfnoise",5
0.539170022460493,0.266034780968011,"MLE",10,4,0.5,"halfnoise",6
0.589862218493915,0.273942248240158,"MLE",10,4,0.5,"halfnoise",7
0.628528051576775,0.246826308416781,"MLE",10,4,0.5,"halfnoise",8
0.618149130386084,0.243229505187764,"MLE",10,4,0.5,"halfnoise",9
0.625916342371671,0.24348943457942,"MLE",10,4,0.5,"halfnoise",10
0.77431076879692,0.194187970705575,"MLE",10,8,0,"equal",1
0.771968310859195,0.19657621415171,"MLE",10,8,0,"equal",2
0.788315162781355,0.195508461237441,"MLE",10,8,0,"equal",3
0.772055335968386,0.198895143942044,"MLE",10,8,0,"equal",4
0.777225599801215,0.195397490970679,"MLE",10,8,0,"equal",5
0.778816476793691,0.204735767987315,"MLE",10,8,0,"equal",6
0.75187232657638,0.205610885328032,"MLE",10,8,0,"equal",7
0.78848471408347,0.190626224965109,"MLE",10,8,0,"equal",8
0.789181594939265,0.189784061296402,"MLE",10,8,0,"equal",9
0.789104336310243,0.191062645657165,"MLE",10,8,0,"equal",10
0.7496586708486,0.203500042130734,"MLE",10,8,0,"strong",1
0.758164910181788,0.199841051525619,"MLE",10,8,0,"strong",2
0.754201258352259,0.203791482470552,"MLE",10,8,0,"strong",3
0.735463427724345,0.210828129093505,"MLE",10,8,0,"strong",4
0.737460869843482,0.213374534247952,"MLE",10,8,0,"strong",5
