"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim"
0.156616605741689,0.12642694726502,0.2472595644,5,12,0,"halfnoise",10
0.119677985979941,0.0899956714346539,0.09967675,5,12,0.5,"equal",1
0.13524491364564,0.0996214899818837,0.099701008,5,12,0.5,"equal",2
0.122377322296519,0.0892765073340311,0.1021804204,5,12,0.5,"equal",3
0.140834725692754,0.100712998006492,0.1048654336,5,12,0.5,"equal",4
0.132152895101051,0.0928741256042159,0.100297404,5,12,0.5,"equal",5
0.133294661950473,0.0963573649151101,0.1034615268,5,12,0.5,"equal",6
0.110683239481484,0.0777084722000492,0.095485966,5,12,0.5,"equal",7
0.13184527194161,0.102190511765858,0.0992737,5,12,0.5,"equal",8
0.126690240434781,0.0925869476242782,0.0999204668,5,12,0.5,"equal",9
0.125251815040372,0.0908898713142912,0.1013141424,5,12,0.5,"equal",10
0.109338323638625,0.0823526028328653,0.1473937132,5,12,0.5,"strong",1
0.10400849876035,0.0777764276012289,0.1468872416,5,12,0.5,"strong",2
0.0942896843424919,0.0723065234491576,0.1434479832,5,12,0.5,"strong",3
0.10329158303564,0.0769747265084127,0.1448225576,5,12,0.5,"strong",4
0.0971491227792379,0.0744466867089014,0.1445176312,5,12,0.5,"strong",5
0.114371113776199,0.0851250029602754,0.145899132,5,12,0.5,"strong",6
0.0994951366026074,0.0768690649681235,0.1454087444,5,12,0.5,"strong",7
0.0866507454917605,0.0647356430903031,0.1360417224,5,12,0.5,"strong",8
0.122664467290931,0.0907988611344805,0.1504065228,5,12,0.5,"strong",9
0.121939445714211,0.0926297995073087,0.1477569688,5,12,0.5,"strong",10
0.131704736198115,0.106525487922631,0.1491409504,5,12,0.5,"noise",1
0.102593981639235,0.077843503078266,0.1486320868,5,12,0.5,"noise",2
0.10149100543159,0.075936164720511,0.1422742088,5,12,0.5,"noise",3
0.118868985997131,0.0891807925465613,0.1465824728,5,12,0.5,"noise",4
0.116335480546759,0.0912491678207789,0.1473438476,5,12,0.5,"noise",5
0.112409684251052,0.0874360480191599,0.147855708,5,12,0.5,"noise",6
0.132103090596359,0.104695218891658,0.1501670736,5,12,0.5,"noise",7
0.0803422004917979,0.0610648459382866,0.1412011256,5,12,0.5,"noise",8
0.102065977850175,0.0765318855716931,0.1423173012,5,12,0.5,"noise",9
0.0975120477217688,0.0740238072364114,0.1412558932,5,12,0.5,"noise",10
0.109929981894626,0.0864571200819408,0.1948828516,5,12,0.5,"halfnoise",1
0.133512908871656,0.107003477176768,0.2010061544,5,12,0.5,"halfnoise",2
0.143808277286317,0.113197856264969,0.2053477252,5,12,0.5,"halfnoise",3
0.11414554366128,0.0908340504193956,0.1983395788,5,12,0.5,"halfnoise",4
0.137039886614767,0.108217160852221,0.200596002,5,12,0.5,"halfnoise",5
0.177691524467996,0.144684909272181,0.21582392,5,12,0.5,"halfnoise",6
0.149214988610948,0.116934663128112,0.203826514,5,12,0.5,"halfnoise",7
0.143632781404248,0.11192875534852,0.2027243624,5,12,0.5,"halfnoise",8
0.110483434400137,0.0883914217132218,0.1949805304,5,12,0.5,"halfnoise",9
0.12628177064197,0.0985761680376024,0.2015826904,5,12,0.5,"halfnoise",10
0.183095989193345,0.149195724754081,0.2369523148,10,4,0,"equal",1
0.177492775325605,0.144018274430709,0.2394603688,10,4,0,"equal",2
0.171421694398376,0.138428661741832,0.2351197528,10,4,0,"equal",3
0.224124973714994,0.185037679402861,0.259481502,10,4,0,"equal",4
0.193186176336819,0.15618200550726,0.2444681828,10,4,0,"equal",5
0.185111954414331,0.148650837070172,0.2388769368,10,4,0,"equal",6
0.193353368127194,0.158941689167056,0.239555168,10,4,0,"equal",7
0.148873423782264,0.118504030888277,0.2337083008,10,4,0,"equal",8
0.176049250696402,0.138894433646622,0.2347281156,10,4,0,"equal",9
0.206099081902361,0.170352939914448,0.2504454776,10,4,0,"equal",10
0.169397345818481,0.139223504608259,0.2320753036,10,4,0,"strong",1
0.181580145205657,0.146944508666567,0.2369740932,10,4,0,"strong",2
0.160399170592288,0.126656754178542,0.2301242872,10,4,0,"strong",3
0.207558611801844,0.165385502812771,0.245905514,10,4,0,"strong",4
0.160121395474101,0.126341251785891,0.2259123584,10,4,0,"strong",5
0.192417302775614,0.157333536534073,0.2414424764,10,4,0,"strong",6
0.200832718053494,0.161464920721289,0.241286846,10,4,0,"strong",7
0.168277590865988,0.131162876864416,0.2305462116,10,4,0,"strong",8
0.159104139137387,0.126371813436727,0.2260036156,10,4,0,"strong",9
0.199756783725404,0.163822430574618,0.2474514176,10,4,0,"strong",10
0.184852663911682,0.155379959651672,0.2737002124,10,4,0,"noise",1
0.201883877052939,0.168459161992698,0.2744940188,10,4,0,"noise",2
0.247861593085316,0.206787493033886,0.2999468388,10,4,0,"noise",3
0.18424133748055,0.15482151313814,0.2685525216,10,4,0,"noise",4
0.160116071242597,0.131112628035166,0.2591646492,10,4,0,"noise",5
0.160658472555337,0.128847408895924,0.25826279,10,4,0,"noise",6
0.171344308452346,0.137001525498363,0.2679437468,10,4,0,"noise",7
0.168747663330648,0.142790216854383,0.2624765744,10,4,0,"noise",8
0.226423822555326,0.18818639053013,0.284667538,10,4,0,"noise",9
0.188918636863742,0.158604309917798,0.2688502544,10,4,0,"noise",10
0.209331626606421,0.174103187896608,0.2826669008,10,4,0,"halfnoise",1
0.168914677793634,0.138880261588334,0.2709779956,10,4,0,"halfnoise",2
0.2022716455855,0.167599662453198,0.2798500156,10,4,0,"halfnoise",3
0.222046019039812,0.18218218412953,0.2884925748,10,4,0,"halfnoise",4
0.180865557824025,0.149379865241571,0.270827826,10,4,0,"halfnoise",5
0.19484613001738,0.154784136244569,0.2762046412,10,4,0,"halfnoise",6
0.204882576646056,0.168143924646647,0.282243416,10,4,0,"halfnoise",7
0.162001894223021,0.13517761525196,0.26763871,10,4,0,"halfnoise",8
0.167322915841811,0.136375575013487,0.2692520504,10,4,0,"halfnoise",9
0.178723068004812,0.149187775342577,0.2725463744,10,4,0,"halfnoise",10
0.141775226174276,0.10987162972105,0.1895275588,10,4,0.5,"equal",1
0.141094971378444,0.115526017327271,0.1893974008,10,4,0.5,"equal",2
0.146637110999499,0.116993504919239,0.1944511496,10,4,0.5,"equal",3
0.152028986539774,0.120909986029577,0.1897854688,10,4,0.5,"equal",4
0.176672969517766,0.143546010371751,0.2073787452,10,4,0.5,"equal",5
0.156582378820302,0.122138612644106,0.1978906936,10,4,0.5,"equal",6
0.22169700001596,0.174415869926698,0.223484862,10,4,0.5,"equal",7
0.16107492663541,0.126721553395231,0.1983039612,10,4,0.5,"equal",8
0.212857056734821,0.168429943955623,0.2194393508,10,4,0.5,"equal",9
0.179374527644814,0.144857127646211,0.2045742732,10,4,0.5,"equal",10
0.135556573811211,0.107202314112442,0.2052907976,10,4,0.5,"strong",1
0.191758662861575,0.150526798678993,0.2195169612,10,4,0.5,"strong",2
0.19256389920051,0.156680670925202,0.2204443892,10,4,0.5,"strong",3
0.190936667484262,0.160319251222015,0.2188523128,10,4,0.5,"strong",4
0.171385775584098,0.136879732023602,0.2180879332,10,4,0.5,"strong",5
0.229295378085686,0.181228537585526,0.2322956996,10,4,0.5,"strong",6
0.211721733452629,0.172576888431529,0.2335284476,10,4,0.5,"strong",7
0.236629788450825,0.186928304454669,0.2371945552,10,4,0.5,"strong",8
0.169943148277777,0.144844945910649,0.211534376,10,4,0.5,"strong",9
0.188093426578923,0.154073021714168,0.2242985548,10,4,0.5,"strong",10
0.198807325390936,0.167665216891576,0.2653042556,10,4,0.5,"noise",1
0.187162520627074,0.150639125455001,0.2591048256,10,4,0.5,"noise",2
0.182296433186013,0.146618050320344,0.2542293256,10,4,0.5,"noise",3
0.224554040894238,0.185706127162171,0.27269888,10,4,0.5,"noise",4
0.212919350789185,0.176613678128066,0.2676834884,10,4,0.5,"noise",5
0.189752260924507,0.162884403379156,0.2582103428,10,4,0.5,"noise",6
0.153353687558506,0.12746472165379,0.2453919552,10,4,0.5,"noise",7
0.148824696146832,0.118280672460019,0.2459308168,10,4,0.5,"noise",8
0.166382522266709,0.132743937937746,0.2517912532,10,4,0.5,"noise",9
0.187010917307212,0.153776045746715,0.2565654492,10,4,0.5,"noise",10
0.194662698311075,0.16483084518325,0.2731516012,10,4,0.5,"halfnoise",1
0.192635825391665,0.158762108274423,0.2715913928,10,4,0.5,"halfnoise",2
0.167446172992533,0.136512752686578,0.2626679528,10,4,0.5,"halfnoise",3
0.196379931425356,0.159960524671791,0.2743147564,10,4,0.5,"halfnoise",4
0.209377521950703,0.170889016173038,0.2809679928,10,4,0.5,"halfnoise",5
0.186405543713792,0.153727474876805,0.2701237456,10,4,0.5,"halfnoise",6
0.196986404590025,0.164986117621824,0.2736089104,10,4,0.5,"halfnoise",7
0.216122585599663,0.173548003631648,0.2816096924,10,4,0.5,"halfnoise",8
